1777	1771156851.864431000	0x12	0x001e	
1781	1771156851.912304000	0x12	0x001d	4f
1793	1771156852.231206000	0x12	0x001e	
1796	1771156854.349192000	0x12	0x001e	
1807	1771156854.401315000	0x12	0x001d	53
1816	1771156854.651321000	0x12	0x001e	
1893	1771156857.587047000	0x12	0x001e	
1897	1771156857.644722000	0x12	0x001d	43
1902	1771156857.931250000	0x12	0x001e	
1909	1771156857.978378000	0x12	0x001d	4f
1924	1771156858.276785000	0x12	0x001e	
1927	1771156858.517613000	0x12	0x001e	
1933	1771156858.578551000	0x12	0x001d	5200fb0104fe
1956	1771156859.273553000	0x12	0x001e	
25322	1771179036.189580000	0x12	0x001e	
25325	1771179036.234246000	0x12	0x001d	4f
25356	1771179036.535634000	0x12	0x001e	
25379	1771179038.681032000	0x12	0x001e	
25389	1771179038.723671000	0x12	0x001d	53
25395	1771179038.972059000	0x12	0x001e	
